outlet,website,publisher,facebook_page,status
Dudley News,https://www.dudleynews.co.uk,Newsquest,https://www.facebook.com/dudleynews,found
Stourbridge News,https://www.stourbridgenews.co.uk,Newsquest,https://www.facebook.com/stourbridgenews,found
Halesowen News,https://www.halesowennews.co.uk,Newsquest,https://www.facebook.com/halesowennews,found
Leigh Journal,https://www.leighjournal.co.uk,Newsquest,https://www.facebook.com/leighjournal,found
Basingstoke Gazette,https://www.basingstokegazette.co.uk,Newsquest,https://www.facebook.com/basingstokegazette,found
The Scotsman,https://www.scotsman.com,National World,https://www.facebook.com/thescotsman,found
Edinburgh News,https://www.edinburghnews.scotsman.com,National World,https://www.facebook.com/edinburghnews,found
Yorkshire Post,https://www.yorkshirepost.co.uk,National World,https://www.facebook.com/yorkshirepost,found
Yorkshire Evening Post,https://www.yorkshireeveningpost.co.uk,National World,https://www.facebook.com/yorkshireeveningpost,found
Sheffield Star,https://www.thestar.co.uk,National World,https://www.facebook.com/sheffieldstar,found
The News (Portsmouth),https://www.portsmouth.co.uk,National World,https://www.facebook.com/portsmouthnews,found
Sunderland Echo,https://www.sunderlandecho.com,National World,https://www.facebook.com/SunderlandEcho,found
Shields Gazette,https://www.shieldsgazette.com,National World,https://www.facebook.com/shieldsgazette,found
Hartlepool Mail,https://www.hartlepoolmail.co.uk,National World,https://www.facebook.com/hartlepoolmail,found
Scarborough News,https://www.thescarboroughnews.co.uk,National World,https://www.facebook.com/scarboroughnews,found
Whitby Gazette,https://www.whitbygazette.co.uk,National World,https://www.facebook.com/whitbygazette,found
Harrogate Advertiser,https://www.harrogateadvertiser.co.uk,National World,https://www.facebook.com/harrogateadvertiser,found
Ripon Gazette,https://www.ripongazette.co.uk,National World,https://www.facebook.com/ripongazette,found
Halifax Courier,https://www.halifaxcourier.co.uk,National World,https://www.facebook.com/halifaxcourier,found
Wakefield Express,https://www.wakefieldexpress.co.uk,National World,https://www.facebook.com/wakefieldexpress,found
Dewsbury Reporter,https://www.dewsburyreporter.co.uk,National World,https://www.facebook.com/dewsburyreporter,found
Doncaster Free Press,https://www.doncasterfreepress.co.uk,National World,https://www.facebook.com/doncasterfreepress,found
Lancashire Post,https://www.lep.co.uk,National World,https://www.facebook.com/lancashirepost,found
Blackpool Gazette,https://www.blackpoolgazette.co.uk,National World,https://www.facebook.com/blackpoolgazette,found
Burnley Express,https://www.burnleyexpress.net,National World,https://www.facebook.com/burnleyexpress,found
Wigan Today,https://www.wigantoday.net,National World,https://www.facebook.com/wigantoday,found
Peterborough Telegraph,https://www.peterboroughtoday.co.uk,National World,https://www.facebook.com/peterboroughtoday,found
Northampton Chronicle,https://www.northamptonchron.co.uk,National World,https://www.facebook.com/northamptonchron,found
Derbyshire Times,https://www.derbyshiretimes.co.uk,National World,https://www.facebook.com/derbyshiretimes,found
Buxton Advertiser,https://www.buxtonadvertiser.co.uk,National World,https://www.facebook.com/buxtontimes,found
Eastbourne Herald,https://www.eastbourneherald.co.uk,National World,https://www.facebook.com/eastbourneherald,found
Hastings Observer,https://www.hastingsobserver.co.uk,National World,https://www.facebook.com/hastingsobserver,found
Chichester Observer,https://www.chichester.co.uk,National World,https://www.facebook.com/chichesterobserver,found
Worthing Herald,https://www.worthingherald.co.uk,National World,https://www.facebook.com/worthingherald,found
Bognor Regis Observer,https://www.bognor.co.uk,National World,https://www.facebook.com/bognorregispost,found
Belfast News Letter,https://www.newsletter.co.uk,National World,https://www.facebook.com/belfastnewsletter,found
Derry Journal,https://www.derryjournal.com,National World,https://www.facebook.com/derryjournal,found
Falkirk Herald,https://www.falkirkherald.co.uk,National World,https://www.facebook.com/falkirkherald,found
Fife Free Press,https://www.fifetoday.co.uk,National World,https://www.facebook.com/fifetoday,found
Stornoway Gazette,https://www.stornowaygazette.co.uk,National World,https://www.facebook.com/stornowaygazette,found
Cumbernauld News,https://www.cumbernauldnews.co.uk,National World,https://www.facebook.com/cumbernauldnews,found
Morpeth Herald,https://www.morpethherald.co.uk,National World,https://www.facebook.com/morpethherald,found
Berwick Advertiser,https://www.berwick-advertiser.co.uk,National World,https://www.facebook.com/berwickadvertiser,found
Boston Standard,https://www.bostonstandard.co.uk,National World,https://www.facebook.com/bostonstandard,found
Louth Leader,https://www.louthleader.co.uk,National World,https://www.facebook.com/louthleader,found
Melton Times,https://www.meltontimes.co.uk,National World,https://www.facebook.com/meltontimes,found
Harborough Mail,https://www.harboroughmail.co.uk,National World,https://www.facebook.com/harboroughmail,found
Daventry Express,https://www.daventryexpress.co.uk,National World,https://www.facebook.com/daventryexpress,found
Luton Today,https://www.lutontoday.co.uk,National World,https://www.facebook.com/lutonnews,found
Milton Keynes Citizen,https://www.miltonkeynes.co.uk,National World,https://www.facebook.com/miltonkeynes,found
Bucks Herald,https://www.bucksherald.co.uk,National World,https://www.facebook.com/bucksherald,found
Hemel Today,https://www.hemeltoday.co.uk,National World,https://www.facebook.com/hemeltoday,found
Biggleswade Chronicle,https://www.biggleswadetoday.co.uk,National World,https://www.facebook.com/biggleswadetoday,found
ITV News,https://www.itv.com/news,ITV,https://www.facebook.com/itvnews,found
STV News,https://news.stv.tv,STV,https://www.facebook.com/stvnews,found
The Stray Ferret,https://thestrayferret.co.uk,Independent,https://www.facebook.com/thestrayferret,found
Channel 103 (Jersey),https://www.channel103.com,Independent,https://www.facebook.com/channel103,found
Island FM (Guernsey),https://www.islandfm.com,Independent,https://www.facebook.com/islandfm,found
